Category,Resource,URL,Description,Purpose,Usage,Tips,Cost
“Think Tanks & Policy Institutes”,“Council on Foreign Relations (CFR)”,“https://www.cfr.org”,“Leading foreign policy think tank founded in 1921, publishes Foreign Affairs magazine and produces nonpartisan analysis on international relations and U.S. foreign policy. Maintains extensive archives of policy reports and expert analysis.”,“Access authoritative foreign policy analysis, track international developments, research U.S. diplomatic history”,“Browse by region/topic, use advanced search for historical reports, subscribe to newsletters for timely analysis”,“Database includes declassified meeting transcripts and historical policy documents; Foreign Affairs archive goes back to 1922”,“Free basic access, CFR membership required for some content”
“Think Tanks & Policy Institutes”,“Brookings Institution”,“https://www.brookings.edu”,“Centrist research organization conducting policy-relevant scholarship across domestic and international issues. Operates specialized centers including foreign policy, economic studies, and governance programs.”,“Download research reports on policy analysis, access expert testimony before Congress, track policy recommendations”,“Use center-specific pages for focused research, filter by publication type and date, access working papers for latest findings”,“Research is peer-reviewed and often influences actual policy; maintains extensive video archive of events”,“Free access to most content”
“Think Tanks & Policy Institutes”,“American Enterprise Institute (AEI)”,“https://www.aei.org”,“Conservative-leaning think tank focusing on economics, foreign policy, and domestic policy research. Emphasizes free market solutions and strong national defense.”,“Access conservative policy perspectives, research market-based solutions, analyze Republican policy positions”,“Browse by scholar expertise, use policy area filters, access AEI’s data and analysis tools”,“Strong emphasis on empirical research; scholars frequently testify before Congress”,“Free access to publications”
“Think Tanks & Policy Institutes”,“Center for Strategic & International Studies (CSIS)”,“https://www.csis.org”,“Bipartisan foreign policy institution focused on security, defense, and international issues. Provides real-time analysis of global developments.”,“Track defense policy developments, analyze international security trends, access expert commentary on current events”,“Use geographic and thematic program pages, subscribe to newsletters, access live event streams”,“Particularly strong on Asia-Pacific and transatlantic relations; frequent briefings with government officials”,“Free access to most content”
“Think Tanks & Policy Institutes”,“Heritage Foundation”,“https://www.heritage.org”,“Conservative think tank producing research on domestic and foreign policy from traditional conservative principles. Known for policy advocacy and score cards.”,“Access conservative policy analysis, track legislative scorecards, research traditional policy approaches”,“Use policy issue filters, access Index of Economic Freedom data, review voting scorecards”,“Maintains comprehensive policy position database; influential in conservative policy circles”,“Free access to research”
“Think Tanks & Policy Institutes”,“Center for American Progress (CAP)”,“https://www.americanprogress.org”,“Progressive think tank focusing on liberal policy solutions across domestic and international issues. Emphasizes data-driven analysis.”,“Access progressive policy perspectives, research liberal policy proposals, analyze Democratic policy positions”,“Browse by issue area, access data visualization tools, download policy briefs”,“Strong emphasis on data visualization; frequently cited by Democratic policymakers”,“Free access to publications”
“Think Tanks & Policy Institutes”,“Cato Institute”,“https://www.cato.org”,“Libertarian think tank promoting individual liberty, limited government, free markets, and peaceful international relations.”,“Research libertarian policy positions, access government spending analysis, track regulatory policy”,“Use policy area navigation, access Cato Handbook for Policymakers, review spending databases”,“Particularly strong on regulatory analysis and government spending data”,“Free access to research”
“Think Tanks & Policy Institutes”,“Urban Institute”,“https://www.urban.org”,“Nonpartisan research organization focusing on social and economic policy through rigorous data analysis.”,“Access social policy research, download datasets on housing/health/education, analyze urban policy trends”,“Use data visualization tools, access research by policy area, download raw datasets”,“Excellent data quality and methodology transparency; provides replication files”,“Free access to data and research”
“Government/Official Sources”,“Congress.gov”,“https://www.congress.gov”,“Official website for U.S. federal legislative information maintained by the Library of Congress. Provides comprehensive access to bills, votes, Congressional Record, and member information.”,“Track legislation progress, access voting records, research legislative history, find member positions”,“Use advanced search with bill numbers, browse by Congress session, filter by chamber and vote type”,“Updated daily after sessions; includes video of hearings; API available for bulk data access”,“Free access to all content”
“Government/Official Sources”,“Federal Election Commission (FEC)”,“https://www.fec.gov/data”,“Official repository for federal campaign finance data including candidate fundraising, spending, and contributor information. Provides detailed financial disclosure reports.”,“Download campaign finance data, track political contributions, analyze spending patterns, verify donor information”,“Use candidate/committee search, filter by election cycle, download bulk data files, access real-time filings”,“Data updated continuously; includes individual contributor details over $200; API available for developers”,“Free access to all data”
“Government/Official Sources”,“Congressional Budget Office (CBO)”,“https://www.cbo.gov”,“Nonpartisan federal agency providing budget and economic analysis to Congress. Produces cost estimates for legislation and economic forecasts.”,“Access fiscal impact analysis, download economic projections, research budget implications of policies”,“Browse by publication type, use search for specific legislation, access historical cost estimates”,“CBO scores are considered authoritative for legislative costing; provides 10-year budget projections”,“Free access to all reports”
“Government/Official Sources”,“Government Accountability Office (GAO)”,“https://www.gao.gov”,“Independent agency providing auditing, evaluation, and investigative services for Congress. Examines government performance and waste.”,“Access government oversight reports, research program effectiveness, find audit findings on federal agencies”,“Search by agency or topic, browse by report type, use advanced filters for date and subject”,“Reports often influence congressional hearings; provides recommendations for government improvement”,“Free access to all reports”
“Government/Official Sources”,“U.S. Census Bureau”,“https://www.census.gov”,“Primary source for demographic, economic, and geographic data about the United States. Conducts the decennial census and numerous surveys.”,“Access demographic data, download geographic datasets, research population trends, analyze economic indicators”,“Use data visualization tools, access American Community Survey, download geographic shapefiles”,“Data released on varying schedules; American Community Survey provides annual updates; extensive API access”,“Free access to most data”
“Government/Official Sources”,“Bureau of Labor Statistics (BLS)”,“https://www.bls.gov”,“Federal agency collecting and analyzing data on employment, wages, prices, and economic conditions.”,“Access employment data, track inflation rates, research wage trends, analyze labor market conditions”,“Use data visualization tools, download time series data, access regional breakdowns”,“Data updated monthly/quarterly; provides historical series going back decades; excellent API documentation”,“Free access to all data”
“Government/Official Sources”,“White House Office of Management and Budget (OMB)”,“https://www.whitehouse.gov/omb”,“Federal office responsible for budget preparation and regulatory oversight. Publishes budget proposals and regulatory analysis.”,“Access federal budget documents, research regulatory impact analysis, track government spending priorities”,“Browse budget documents by fiscal year, access regulatory review materials, download historical budgets”,“Budget documents reveal administration priorities; regulatory reviews show cost-benefit analysis”,“Free access to documents”
“Government/Official Sources”,“Supreme Court of the United States”,“https://www.supremecourt.gov”,“Official website providing access to Court opinions, orders, argument transcripts, and case dockets. Includes historical and current case materials.”,“Research constitutional law, access Court opinions, track current cases, find legal precedents”,“Use docket search, browse opinions by term, access argument audio and transcripts”,“Opinions available same day as release; historical opinions searchable; email alerts available for case updates”,“Free access to all materials”
“Non-Partisan Research Organizations”,“Ballotpedia”,“https://ballotpedia.org”,“Nonpartisan digital encyclopedia covering American politics and elections at all levels. Provides comprehensive information on candidates, elections, and ballot measures with professional editorial staff.”,“Research candidates and elections, track ballot measures, access voting records, find local election information”,“Use Sample Ballot Lookup tool, browse by state/locality, access candidate surveys and voting records”,“Covers over 400,000 articles; professional editorial standards; no opinion content, just facts”,“Free access to all content”
“Non-Partisan Research Organizations”,“Vote Smart (Project Vote Smart)”,“https://votesmart.org”,“Nonpartisan voter education organization providing factual information on candidates and elected officials. Tracks voting records, issue positions, and biographical information.”,“Research candidate positions, access voting scorecards, find contact information for officials, compare candidate stances”,“Use candidate search, browse by office level, access issue position database, find voting records”,“Candidate self-reported information supplemented by research; covers federal, state, and local levels”,“Free basic access, premium features for subscribers”
